altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
687,24.0,2019-06-29,24,18,16:48,16:10,04:50,5514,GRANADA BASE AÉREA,"0,0","938,1","934,9",GRANADA,"9,4","13,1","39,5","29,0","18,5","2,8"
687,21.0,2019-06-30,24,20,15:28,14:00,05:30,5514,GRANADA BASE AÉREA,"0,0","940,6","937,7",GRANADA,"9,2","13,1","36,2","27,4","18,6","3,1"
687,29.0,2019-07-01,00,17,15:30,14:00,04:50,5514,GRANADA BASE AÉREA,"0,0","940,6","936,1",GRANADA,"11,1","14,2","35,0","26,2","17,3","3,3"
687,20.0,2019-07-02,00,18,13:43,15:05,05:50,5514,GRANADA BASE AÉREA,"0,0","938,1","934,4",GRANADA,"10,8","13,4","33,5","25,4","17,2","3,9"
687,17.0,2019-07-03,Varias,18,13:56,14:50,05:20,5514,GRANADA BASE AÉREA,"0,0","936,1","933,8",GRANADA,"10,3","13,4","34,0","25,4","16,7","5,8"
687,19.0,2019-07-04,24,18,15:16,16:40,05:30,5514,GRANADA BASE AÉREA,"0,0","938,9","935,7",GRANADA,"11,4","13,4","32,0","24,3","16,6","4,4"
687,16.0,2019-07-05,06,18,15:08,14:10,05:00,5514,GRANADA BASE AÉREA,"0,0","939,2","936,7",GRANADA,"8,6","13,3","36,5","26,6","16,8","3,1"
687,19.0,2019-07-06,00,18,22:59,10:50,03:21,5514,GRANADA BASE AÉREA,"0,0","939,1","935,7",GRANADA,"17,2","3,9","35,3","27,3","19,3","4,7"
687,18.0,2019-07-07,00,18,10:08,14:28,23:58,5514,GRANADA BASE AÉREA,"0,0","936,3","933,0",GRANADA,"13,1","7,2","35,8","28,0","20,2","5,3"
687,29.0,2019-07-08,23,18,14:30,14:20,03:55,5514,GRANADA BASE AÉREA,"0,0","936,9","933,9",GRANADA,"10,0","13,0","29,0","22,1","15,2","4,7"
687,31.0,2019-07-09,Varias,18,13:06,15:55,05:30,5514,GRANADA BASE AÉREA,"0,0","937,3","934,8",GRANADA,"8,6","13,7","30,6","21,5","12,4","3,1"
687,19.0,2019-07-10,Varias,18,17:39,15:10,05:10,5514,GRANADA BASE AÉREA,"0,0","936,3","934,0",GRANADA,"9,4","13,6","35,2","24,8","14,4","3,1"
687,20.0,2019-07-11,24,18,18:13,15:40,05:45,5514,GRANADA BASE AÉREA,"0,0","937,2","934,6",GRANADA,"9,2","12,2","37,8","27,8","17,7","3,6"
687,22.0,2019-07-12,22,Varias,13:29,13:30,05:40,5514,GRANADA BASE AÉREA,Ip,"938,6","936,0",GRANADA,"10,0","3,3","36,8","28,6","20,4","1,9"
687,23.0,2019-07-13,Varias,18,15:23,13:50,05:00,5514,GRANADA BASE AÉREA,"0,0","938,2","934,9",GRANADA,"13,3","12,2","37,4","28,8","20,2","4,2"
687,3.0,2019-07-14,00,18,15:08,15:40,03:50,5514,GRANADA BASE AÉREA,"0,0","937,1","935,0",GRANADA,"10,0","13,3","31,9","23,8","15,6","3,9"
687,29.0,2019-07-15,09,18,14:43,Varias,04:20,5514,GRANADA BASE AÉREA,"0,0","936,8","934,3",GRANADA,"9,7","13,2","35,8","26,4","17,1","3,6"
687,16.0,2019-07-16,24,18,14:42,13:30,04:20,5514,GRANADA BASE AÉREA,"0,0","936,4","935,0",GRANADA,"11,1","13,5","36,6","27,7","18,8","5,6"
687,28.0,2019-07-17,24,18,15:54,16:00,05:00,5514,GRANADA BASE AÉREA,"0,0","937,1","934,3",GRANADA,"10,6","12,9","33,8","26,1","18,4","3,6"
687,19.0,2019-07-18,10,18,18:14,15:40,05:50,5514,GRANADA BASE AÉREA,"0,0","937,2","934,4",GRANADA,"11,7","13,0","34,8","25,3","15,8","3,9"
687,22.0,2019-07-19,Varias,18,13:17,14:49,05:40,5514,GRANADA BASE AÉREA,"0,0","937,0","933,0",GRANADA,"8,3","11,5","37,1","27,2","17,4","3,3"
687,19.0,2019-07-20,24,18,20:17,15:14,05:30,5514,GRANADA BASE AÉREA,"0,0","938,7","935,0",GRANADA,"9,7","12,4","38,2","29,0","19,7","2,5"
687,18.0,2019-07-21,24,18,18:53,14:22,03:26,5514,GRANADA BASE AÉREA,"0,0","940,9","937,0",GRANADA,"11,1","12,8","38,4","29,7","21,0","3,9"
687,17.0,2019-07-22,Varias,Varias,16:00,14:10,05:05,5514,GRANADA BASE AÉREA,"0,0","940,9","937,0",GRANADA,"11,9","11,6","38,6","29,2","19,8","3,9"
687,19.0,2019-07-23,00,17,16:57,15:50,05:10,5514,GRANADA BASE AÉREA,"0,0","938,9","935,5",GRANADA,"13,9","11,9","38,2","29,2","20,2","6,1"
687,17.0,2019-07-24,00,19,20:52,15:10,05:10,5514,GRANADA BASE AÉREA,"0,0","938,0","935,0",GRANADA,"10,6","12,8","37,6","28,5","19,4","3,9"
687,19.0,2019-07-25,Varias,Varias,14:49,14:30,05:30,5514,GRANADA BASE AÉREA,"0,0","937,2","935,0",GRANADA,"10,3","13,2","36,8","28,0","19,2","3,9"
687,28.0,2019-07-26,00,18,16:04,13:05,05:10,5514,GRANADA BASE AÉREA,"0,0","937,0","934,1",GRANADA,"9,7","12,0","32,4","25,6","18,8","4,4"
687,30.0,2019-07-27,Varias,18,13:42,14:44,03:20,5514,GRANADA BASE AÉREA,"0,0","935,0","932,8",GRANADA,"10,6","12,1","29,8","23,4","17,0","3,9"
687,31.0,2019-07-28,00,18,15:40,15:22,03:42,5514,GRANADA BASE AÉREA,"0,0","934,0","931,0",GRANADA,"8,1","12,1","33,2","24,9","16,6","2,8"
