altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
567,29.0,2018-02-09,22,15,16:46,15:55,07:32,5530E,GRANADA AEROPUERTO,"0,0","955,6","951,8",GRANADA,"8,9","10,0","12,3","4,4","-3,5","1,4"
567,99.0,2018-02-10,Varias,15,Varias,14:34,07:17,5530E,GRANADA AEROPUERTO,"0,0","956,1","952,3",GRANADA,"9,2","8,7","15,1","6,6","-2,0","3,6"
567,29.0,2018-02-11,Varias,16,17:40,15:48,07:30,5530E,GRANADA AEROPUERTO,"0,0","958,5","954,1",GRANADA,"8,9","10,1","17,9","7,4","-3,0","2,8"
567,27.0,2018-02-12,00,15,15:20,15:21,23:55,5530E,GRANADA AEROPUERTO,"0,1","956,6","952,7",GRANADA,"10,8","2,0","14,7","8,2","1,6","2,5"
567,99.0,2018-02-13,Varias,16,Varias,14:31,06:09,5530E,GRANADA AEROPUERTO,"0,0","957,7","954,3",GRANADA,"8,9","10,2","14,4","6,2","-2,1","3,3"
567,27.0,2018-02-14,Varias,15,15:50,15:39,06:01,5530E,GRANADA AEROPUERTO,"0,0","957,8","954,5",GRANADA,"7,8","9,4","17,1","7,4","-2,3","1,9"
567,26.0,2018-02-15,Varias,16,17:46,14:45,06:37,5530E,GRANADA AEROPUERTO,"0,0","959,7","956,2",GRANADA,"5,8","10,3","20,0","10,0","0,1","1,4"
567,99.0,2018-02-16,00,16,Varias,15:05,07:19,5530E,GRANADA AEROPUERTO,"0,0","958,3","953,6",GRANADA,"7,8","10,3","21,1","11,5","1,9","1,7"
567,34.0,2018-02-17,Varias,15,16:43,15:00,07:02,5530E,GRANADA AEROPUERTO,"0,0","957,2","952,7",GRANADA,"9,2","10,2","19,6","10,6","1,6","1,7"
567,23.0,2018-02-18,00,16,16:12,13:45,07:02,5530E,GRANADA AEROPUERTO,"0,0","955,5","951,2",GRANADA,"7,8","8,0","18,5","10,2","1,8","1,4"
567,27.0,2018-02-19,00,16,17:22,14:48,07:05,5530E,GRANADA AEROPUERTO,"0,0","952,0","948,9",GRANADA,"6,1","6,8","16,9","10,2","3,6","2,2"
567,9.0,2018-02-20,Varias,24,14:34,14:35,06:04,5530E,GRANADA AEROPUERTO,"0,0","951,8","946,9",GRANADA,"9,7","10,1","18,4","9,7","1,0","2,5"
567,99.0,2018-02-21,00,14,Varias,13:46,23:03,5530E,GRANADA AEROPUERTO,"0,0","946,9","939,7",GRANADA,"13,9","10,0","14,7","8,4","2,1","4,7"
567,26.0,2018-02-22,Varias,15,14:34,14:59,06:08,5530E,GRANADA AEROPUERTO,"0,0","942,9","939,5",GRANADA,"11,7","10,7","14,3","6,2","-2,0","2,8"
567,99.0,2018-02-23,00,16,Varias,16:01,06:59,5530E,GRANADA AEROPUERTO,"0,0","940,7","936,3",GRANADA,"7,8","10,6","15,7","5,9","-3,9","2,2"
567,22.0,2018-02-24,Varias,05,12:05,16:11,04:17,5530E,GRANADA AEROPUERTO,"0,0","943,9","939,0",GRANADA,"6,7","7,1","13,4","6,4","-0,5","2,8"
567,20.0,2018-02-25,Varias,03,21:05,16:04,23:59,5530E,GRANADA AEROPUERTO,"3,6","946,9","943,8",GRANADA,"4,2","4,0","14,9","8,2","1,4","0,8"
